,Gender,Age,Location,Financial Condition,Adaptivity Level
607,Girl,16-20,No,Mid,Low
608,Boy,11-15,Yes,Mid,Moderate
609,Boy,1-5,Yes,Mid,Low
610,Boy,11-15,Yes,Mid,Low
611,Girl,11-15,Yes,Mid,Moderate
612,Boy,21-25,Yes,Mid,Moderate
613,Boy,21-25,No,Mid,Low
614,Boy,11-15,Yes,Poor,Low
615,Girl,6-10,Yes,Poor,High
616,Girl,1-5,Yes,Mid,Moderate
617,Girl,6-10,Yes,Poor,Low
618,Girl,21-25,Yes,Poor,Low
619,Boy,21-25,Yes,Rich,High
620,Boy,11-15,Yes,Mid,High
621,Girl,21-25,No,Mid,Moderate
622,Boy,21-25,Yes,Mid,Moderate
623,Girl,11-15,Yes,Mid,Moderate
624,Boy,1-5,Yes,Poor,Low
625,Boy,11-15,Yes,Mid,Low
626,Boy,16-20,Yes,Mid,Low
627,Boy,11-15,Yes,Mid,High
628,Boy,6-10,Yes,Rich,High
629,Boy,26-30,Yes,Mid,Moderate
630,Girl,11-15,Yes,Poor,Moderate
631,Girl,16-20,No,Mid,Moderate
632,Girl,21-25,Yes,Mid,Moderate
633,Girl,16-20,Yes,Mid,Low
634,Girl,21-25,Yes,Mid,Low
635,Boy,11-15,Yes,Mid,Moderate
636,Girl,26-30,Yes,Mid,Low
637,Girl,1-5,Yes,Mid,Moderate
638,Girl,1-5,Yes,Poor,Moderate
639,Boy,11-15,Yes,Poor,Moderate
640,Boy,11-15,Yes,Rich,High
641,Boy,11-15,Yes,Mid,Moderate
642,Boy,16-20,No,Mid,Low
643,Girl,6-10,Yes,Rich,High
644,Boy,11-15,Yes,Mid,Low
645,Girl,11-15,Yes,Poor,Moderate
646,Boy,26-30,No,Poor,Low
647,Boy,26-30,No,Poor,Moderate
648,Boy,21-25,Yes,Poor,High
649,Boy,16-20,Yes,Mid,Moderate
650,Girl,11-15,No,Mid,Low
651,Boy,26-30,No,Poor,Moderate
652,Boy,16-20,No,Mid,Low
653,Girl,21-25,Yes,Mid,Low
654,Boy,21-25,Yes,Mid,Low
655,Boy,11-15,Yes,Rich,Moderate
656,Boy,11-15,Yes,Mid,High
657,Girl,16-20,Yes,Mid,Low
658,Girl,16-20,Yes,Mid,Low
659,Girl,16-20,Yes,Mid,Low
660,Boy,11-15,Yes,Mid,Moderate
661,Girl,1-5,Yes,Poor,Moderate
662,Boy,11-15,Yes,Mid,Low
663,Boy,11-15,Yes,Mid,Moderate
664,Boy,21-25,No,Mid,Moderate
665,Girl,16-20,No,Mid,Moderate
666,Boy,11-15,Yes,Mid,Low
667,Girl,11-15,Yes,Rich,Moderate
668,Boy,26-30,Yes,Mid,Low
669,Boy,11-15,Yes,Rich,Moderate
670,Girl,16-20,No,Mid,Low
671,Girl,21-25,No,Mid,Low
672,Girl,16-20,Yes,Mid,Low
673,Boy,21-25,Yes,Mid,Moderate
674,Girl,16-20,Yes,Mid,Low
675,Boy,21-25,No,Mid,Moderate
676,Boy,21-25,No,Mid,Moderate
677,Boy,1-5,Yes,Poor,Low
678,Girl,1-5,Yes,Poor,Moderate
679,Boy,21-25,Yes,Mid,Moderate
680,Boy,21-25,Yes,Mid,Low
681,Girl,6-10,Yes,Poor,High
682,Girl,21-25,No,Mid,Moderate
683,Boy,26-30,Yes,Mid,Moderate
684,Boy,11-15,No,Poor,Low
685,Girl,16-20,No,Mid,Low
686,Boy,11-15,Yes,Mid,Moderate
687,Boy,21-25,Yes,Poor,Low
688,Boy,16-20,Yes,Mid,Moderate
689,Boy,21-25,Yes,Poor,High
690,Boy,26-30,Yes,Mid,Moderate
691,Boy,11-15,Yes,Mid,Moderate
692,Boy,21-25,Yes,Mid,Moderate
693,Girl,1-5,Yes,Mid,Moderate
694,Boy,21-25,Yes,Mid,Low
695,Girl,11-15,Yes,Mid,Moderate
696,Girl,6-10,No,Mid,Low
697,Boy,21-25,Yes,Mid,Low
698,Girl,1-5,Yes,Mid,Moderate
699,Girl,16-20,Yes,Mid,Low
700,Girl,1-5,Yes,Mid,Moderate
701,Girl,16-20,No,Mid,Low
702,Girl,11-15,No,Mid,Low
703,Girl,1-5,Yes,Rich,Low
704,Girl,11-15,Yes,Poor,Low
705,Girl,21-25,No,Mid,Moderate
706,Girl,16-20,Yes,Mid,Moderate
707,Girl,1-5,Yes,Poor,Moderate
708,Boy,21-25,Yes,Mid,Moderate
709,Boy,16-20,Yes,Mid,Moderate
710,Boy,16-20,Yes,Mid,Low
711,Boy,21-25,No,Poor,Low
712,Boy,16-20,Yes,Mid,Low
713,Boy,11-15,Yes,Poor,Moderate
714,Girl,26-30,Yes,Mid,Low
715,Girl,11-15,No,Mid,Low
716,Girl,11-15,Yes,Rich,High
717,Girl,26-30,Yes,Mid,Low
718,Boy,11-15,Yes,Mid,Moderate
719,Boy,21-25,Yes,Mid,Moderate
720,Girl,1-5,Yes,Mid,Moderate
721,Girl,16-20,No,Mid,Moderate
722,Boy,21-25,No,Poor,Moderate
723,Girl,11-15,Yes,Poor,Low
724,Girl,16-20,Yes,Mid,Low
725,Boy,16-20,Yes,Mid,Moderate
726,Girl,16-20,No,Mid,Moderate
727,Girl,11-15,Yes,Mid,Moderate
728,Boy,11-15,Yes,Poor,Low
729,Girl,1-5,Yes,Poor,Moderate
730,Girl,21-25,Yes,Mid,Moderate
731,Girl,16-20,No,Poor,Moderate
732,Girl,11-15,Yes,Mid,Moderate
733,Boy,21-25,Yes,Poor,High
734,Girl,1-5,Yes,Poor,Moderate
735,Boy,11-15,Yes,Rich,High
736,Girl,16-20,Yes,Mid,Low
737,Boy,21-25,Yes,Mid,Moderate
738,Girl,1-5,Yes,Mid,Moderate
739,Boy,26-30,No,Poor,Low
740,Boy,16-20,Yes,Mid,Moderate
741,Boy,11-15,Yes,Poor,Moderate
742,Boy,21-25,Yes,Mid,Low
743,Girl,16-20,Yes,Mid,Low
744,Girl,16-20,No,Mid,Moderate
745,Boy,21-25,Yes,Mid,Low
746,Boy,16-20,Yes,Mid,Moderate
747,Boy,16-20,Yes,Mid,Moderate
748,Boy,21-25,Yes,Poor,High
749,Boy,21-25,No,Poor,Moderate
750,Girl,11-15,Yes,Mid,Moderate
751,Boy,21-25,No,Mid,Moderate
752,Boy,11-15,Yes,Mid,Moderate
753,Boy,21-25,No,Mid,Low
754,Girl,21-25,Yes,Mid,Moderate
755,Boy,11-15,Yes,Mid,Low
756,Boy,16-20,Yes,Mid,Moderate
757,Boy,21-25,Yes,Mid,Low
758,Girl,1-5,Yes,Mid,Moderate
759,Boy,21-25,No,Mid,Low
760,Boy,16-20,No,Mid,Low
761,Girl,21-25,No,Mid,Low
762,Girl,21-25,Yes,Rich,Moderate
763,Girl,16-20,Yes,Mid,Low
764,Boy,21-25,Yes,Mid,Moderate
765,Boy,11-15,Yes,Mid,Moderate
766,Girl,16-20,Yes,Mid,Low
767,Girl,11-15,Yes,Mid,Moderate
768,Boy,16-20,Yes,Mid,Moderate
769,Girl,16-20,Yes,Mid,High
770,Boy,11-15,Yes,Mid,Moderate
771,Girl,21-25,Yes,Mid,Moderate
772,Girl,21-25,No,Poor,Low
773,Girl,16-20,Yes,Mid,Low
774,Boy,21-25,Yes,Poor,Low
775,Girl,16-20,Yes,Mid,Moderate
776,Boy,11-15,Yes,Mid,Moderate
777,Girl,21-25,Yes,Mid,Low
778,Girl,6-10,Yes,Poor,Low
779,Girl,1-5,Yes,Mid,Moderate
780,Boy,21-25,No,Mid,Moderate
781,Girl,11-15,Yes,Mid,Moderate
782,Boy,11-15,Yes,Mid,Low
783,Boy,21-25,Yes,Mid,Moderate
784,Boy,21-25,No,Poor,Low
785,Boy,21-25,Yes,Mid,Moderate
786,Girl,16-20,Yes,Mid,Low
787,Girl,16-20,No,Mid,Moderate
788,Boy,6-10,Yes,Rich,High
789,Girl,21-25,Yes,Mid,Moderate
790,Girl,26-30,No,Poor,Low
791,Boy,11-15,Yes,Mid,Moderate
792,Girl,11-15,No,Mid,Low
793,Girl,11-15,No,Mid,Low
794,Boy,21-25,No,Mid,Low
795,Girl,16-20,No,Mid,Moderate
796,Boy,21-25,Yes,Mid,Moderate
797,Boy,21-25,Yes,Mid,Moderate
798,Girl,1-5,Yes,Mid,Moderate
799,Girl,21-25,Yes,Mid,Moderate
800,Girl,16-20,Yes,Mid,Moderate
801,Boy,11-15,Yes,Mid,Moderate
802,Boy,11-15,Yes,Mid,Low
803,Girl,1-5,Yes,Mid,Moderate
804,Boy,21-25,Yes,Mid,Low
805,Boy,6-10,No,Mid,Low
806,Girl,11-15,Yes,Rich,Moderate
807,Girl,11-15,Yes,Mid,Moderate
808,Boy,21-25,Yes,Mid,Moderate
809,Boy,21-25,Yes,Mid,Moderate
810,Boy,26-30,Yes,Rich,High
811,Girl,16-20,Yes,Mid,Moderate
812,Girl,16-20,Yes,Mid,Moderate
813,Boy,21-25,No,Mid,Low
814,Boy,11-15,Yes,Rich,High
815,Girl,11-15,No,Mid,Low
816,Boy,16-20,Yes,Rich,Moderate
817,Boy,11-15,Yes,Poor,Low
818,Girl,16-20,No,Mid,Low
819,Boy,11-15,No,Poor,Low
820,Girl,1-5,Yes,Poor,Moderate
821,Girl,6-10,Yes,Mid,Moderate
822,Boy,11-15,Yes,Mid,High
823,Boy,21-25,Yes,Mid,Moderate
824,Girl,16-20,Yes,Mid,Low
825,Boy,11-15,Yes,Mid,Moderate
826,Boy,21-25,Yes,Mid,Moderate
827,Girl,21-25,No,Mid,Moderate
828,Boy,21-25,No,Mid,Moderate
829,Boy,16-20,Yes,Rich,Moderate
830,Boy,16-20,Yes,Mid,Low
831,Boy,11-15,No,Mid,Low
832,Boy,11-15,Yes,Mid,Moderate
833,Boy,11-15,Yes,Mid,Moderate
834,Girl,21-25,Yes,Mid,Low
835,Boy,11-15,Yes,Mid,Moderate
836,Girl,1-5,Yes,Poor,Moderate
837,Boy,16-20,Yes,Mid,Moderate
838,Boy,21-25,No,Mid,Moderate
839,Girl,6-10,Yes,Poor,Low
840,Girl,1-5,Yes,Mid,Moderate
841,Girl,16-20,Yes,Mid,High
842,Girl,11-15,Yes,Poor,Low
843,Boy,16-20,Yes,Mid,Moderate
844,Boy,11-15,Yes,Mid,High
845,Boy,11-15,Yes,Mid,Moderate
846,Girl,21-25,Yes,Mid,Moderate
847,Girl,16-20,No,Mid,Low
848,Girl,6-10,Yes,Poor,High
849,Girl,11-15,Yes,Mid,Moderate
850,Girl,11-15,Yes,Mid,Moderate
851,Girl,16-20,No,Mid,Low
852,Boy,11-15,Yes,Mid,Moderate
853,Girl,11-15,Yes,Poor,Low
854,Girl,16-20,Yes,Mid,Low
855,Girl,21-25,No,Mid,Low
856,Girl,11-15,Yes,Mid,Low
857,Girl,16-20,No,Mid,Moderate
858,Boy,26-30,Yes,Mid,Moderate
859,Girl,16-20,Yes,Mid,Low
860,Boy,21-25,Yes,Mid,Low
861,Boy,21-25,No,Mid,Moderate
862,Girl,26-30,No,Poor,Low
863,Girl,6-10,No,Mid,Low
864,Girl,21-25,No,Mid,Low
865,Girl,1-5,Yes,Poor,Moderate
866,Boy,11-15,Yes,Mid,Low
867,Girl,16-20,No,Mid,Moderate
868,Girl,11-15,Yes,Poor,Moderate
869,Girl,6-10,Yes,Mid,Moderate
870,Boy,16-20,Yes,Mid,Moderate
871,Boy,21-25,Yes,Mid,Moderate
872,Boy,16-20,Yes,Mid,Moderate
873,Girl,16-20,Yes,Poor,Low
874,Girl,16-20,Yes,Mid,Moderate
875,Girl,21-25,Yes,Mid,Moderate
876,Boy,11-15,Yes,Mid,Moderate
877,Girl,16-20,No,Mid,Low
878,Boy,11-15,Yes,Mid,Low
879,Boy,11-15,Yes,Mid,Moderate
880,Girl,21-25,Yes,Mid,Moderate
881,Girl,11-15,Yes,Rich,Low
882,Boy,11-15,Yes,Mid,Low
883,Girl,11-15,Yes,Poor,Moderate
884,Boy,21-25,Yes,Mid,Moderate
885,Boy,16-20,Yes,Rich,Moderate
886,Girl,1-5,Yes,Poor,Moderate
887,Boy,21-25,Yes,Mid,Moderate
888,Girl,16-20,Yes,Mid,Moderate
889,Boy,26-30,No,Mid,Moderate
890,Boy,16-20,Yes,Mid,Moderate
891,Girl,16-20,Yes,Mid,Moderate
892,Girl,11-15,Yes,Poor,Moderate
893,Girl,11-15,Yes,Mid,Moderate
894,Girl,6-10,Yes,Poor,Low
895,Girl,21-25,No,Mid,Moderate
896,Girl,21-25,Yes,Mid,Low
897,Boy,16-20,Yes,Rich,Moderate
898,Boy,21-25,Yes,Mid,Low
899,Boy,21-25,Yes,Mid,Moderate
900,Girl,16-20,Yes,Mid,Moderate
901,Boy,21-25,No,Mid,Moderate
902,Boy,11-15,Yes,Mid,Low
903,Girl,16-20,Yes,Mid,Moderate
904,Boy,11-15,Yes,Mid,High
905,Boy,6-10,Yes,Rich,High
906,Girl,11-15,Yes,Mid,Low
907,Girl,1-5,Yes,Poor,Moderate
908,Boy,6-10,Yes,Rich,Moderate
909,Boy,11-15,Yes,Mid,Low
910,Girl,11-15,Yes,Mid,Moderate
911,Boy,16-20,Yes,Mid,Low
912,Boy,21-25,Yes,Mid,Moderate
913,Girl,1-5,Yes,Poor,Moderate
914,Girl,6-10,Yes,Poor,Low
915,Boy,21-25,Yes,Mid,Moderate
916,Girl,1-5,Yes,Mid,Moderate
917,Boy,26-30,No,Poor,Moderate
918,Boy,21-25,Yes,Poor,High
919,Boy,11-15,Yes,Mid,Moderate
920,Boy,11-15,Yes,Mid,Moderate
921,Girl,11-15,Yes,Mid,Moderate
922,Boy,21-25,Yes,Mid,Moderate
923,Boy,16-20,No,Mid,Low
924,Girl,21-25,Yes,Mid,High
925,Girl,21-25,Yes,Mid,Moderate
926,Boy,21-25,Yes,Mid,Low
927,Girl,1-5,Yes,Poor,Moderate
928,Boy,6-10,Yes,Mid,Low
929,Girl,11-15,Yes,Rich,Moderate
930,Girl,11-15,Yes,Mid,Moderate
931,Boy,11-15,Yes,Mid,Moderate
932,Girl,11-15,Yes,Poor,Low
933,Boy,21-25,Yes,Poor,Moderate
934,Boy,6-10,No,Mid,Low
935,Boy,16-20,Yes,Mid,Moderate
936,Boy,21-25,Yes,Rich,High
937,Girl,11-15,Yes,Poor,Low
938,Girl,11-15,Yes,Mid,Moderate
939,Girl,6-10,Yes,Rich,High
940,Boy,11-15,Yes,Mid,Low
941,Boy,21-25,No,Mid,Low
942,Girl,16-20,No,Mid,Low
943,Boy,11-15,Yes,Mid,High
944,Boy,21-25,Yes,Mid,Moderate
945,Boy,16-20,Yes,Mid,Moderate
946,Boy,16-20,Yes,Mid,Moderate
947,Girl,1-5,Yes,Mid,Moderate
948,Boy,16-20,No,Mid,Low
949,Boy,21-25,No,Mid,Moderate
950,Boy,21-25,Yes,Poor,Low
951,Boy,21-25,Yes,Mid,Low
952,Boy,16-20,Yes,Mid,Moderate
953,Boy,16-20,Yes,Mid,Moderate
954,Girl,6-10,Yes,Mid,High
955,Boy,11-15,No,Mid,Low
956,Boy,11-15,Yes,Mid,High
957,Boy,21-25,No,Mid,Moderate
958,Boy,6-10,Yes,Mid,Low
959,Girl,21-25,Yes,Mid,Moderate
960,Girl,16-20,Yes,Mid,Low
961,Boy,21-25,Yes,Mid,Moderate
962,Boy,21-25,Yes,Rich,High
963,Girl,21-25,No,Mid,Moderate
964,Girl,16-20,Yes,Mid,Moderate
965,Boy,16-20,Yes,Mid,Moderate
966,Boy,21-25,Yes,Mid,Low
967,Boy,21-25,Yes,Mid,Low
968,Girl,1-5,Yes,Poor,Moderate
969,Boy,26-30,No,Poor,Moderate
970,Girl,11-15,Yes,Rich,Moderate
971,Girl,11-15,No,Mid,Low
972,Girl,26-30,Yes,Mid,Low
973,Boy,16-20,Yes,Rich,Moderate
974,Boy,21-25,Yes,Mid,Low
975,Girl,11-15,Yes,Mid,Moderate
976,Boy,16-20,Yes,Mid,Moderate
977,Boy,6-10,Yes,Mid,Low
978,Boy,6-10,No,Mid,Low
979,Girl,1-5,Yes,Mid,Moderate
980,Girl,11-15,Yes,Mid,Moderate
981,Girl,1-5,Yes,Mid,Moderate
982,Boy,21-25,No,Mid,Low
983,Boy,16-20,Yes,Mid,Moderate
984,Girl,21-25,No,Mid,Low
985,Boy,11-15,Yes,Mid,Moderate
986,Boy,11-15,Yes,Mid,Moderate
987,Boy,11-15,Yes,Mid,High
988,Boy,21-25,Yes,Mid,Low
989,Boy,26-30,No,Poor,Low
990,Girl,21-25,Yes,Poor,Low
991,Boy,11-15,Yes,Mid,Low
992,Girl,16-20,No,Mid,Low
993,Boy,16-20,Yes,Mid,Low
994,Boy,11-15,Yes,Poor,Low
995,Girl,16-20,No,Rich,High
996,Boy,21-25,Yes,Mid,Low
997,Girl,1-5,Yes,Mid,Moderate
998,Girl,11-15,Yes,Rich,Low
999,Boy,16-20,No,Poor,Moderate
1000,Boy,11-15,Yes,Poor,Low
1001,Girl,16-20,No,Mid,Moderate
1002,Boy,21-25,Yes,Poor,Moderate
1003,Girl,11-15,Yes,Mid,Moderate
1004,Boy,11-15,Yes,Mid,Moderate
1005,Boy,11-15,Yes,Mid,Moderate
1006,Girl,21-25,Yes,Rich,Moderate
1007,Girl,21-25,Yes,Mid,Moderate
1008,Girl,1-5,Yes,Poor,Moderate
1009,Boy,11-15,Yes,Poor,Low
1010,Boy,21-25,Yes,Mid,Moderate
1011,Girl,11-15,Yes,Mid,Moderate
1012,Girl,21-25,No,Mid,Low
1013,Girl,26-30,Yes,Mid,Low
1014,Girl,16-20,No,Mid,Low
1015,Boy,16-20,Yes,Mid,Moderate
1016,Boy,16-20,No,Mid,Low
1017,Girl,1-5,Yes,Mid,Moderate
1018,Girl,16-20,No,Mid,Low
1019,Boy,11-15,Yes,Rich,Moderate
1020,Boy,21-25,Yes,Mid,Moderate
1021,Boy,21-25,No,Mid,Moderate
1022,Girl,11-15,Yes,Mid,Moderate
1023,Boy,21-25,Yes,Mid,Low
1024,Boy,21-25,Yes,Mid,Moderate
1025,Boy,26-30,No,Mid,High
1026,Boy,11-15,Yes,Mid,Low
1027,Girl,16-20,Yes,Mid,Low
1028,Girl,16-20,No,Mid,Low
1029,Girl,16-20,Yes,Mid,Moderate
1030,Girl,11-15,Yes,Mid,Low
1031,Girl,6-10,Yes,Mid,High
1032,Girl,16-20,No,Mid,Low
1033,Boy,11-15,Yes,Mid,High
1034,Girl,21-25,Yes,Rich,Moderate
1035,Girl,21-25,No,Mid,Low
1036,Boy,1-5,Yes,Mid,Low
1037,Boy,21-25,Yes,Mid,Moderate
1038,Girl,16-20,Yes,Mid,Low
1039,Girl,11-15,Yes,Rich,High
1040,Boy,11-15,Yes,Poor,Low
1041,Girl,21-25,Yes,Mid,Moderate
1042,Boy,21-25,Yes,Mid,Moderate
1043,Boy,21-25,No,Mid,Low
1044,Girl,16-20,Yes,Mid,Moderate
1045,Boy,21-25,Yes,Mid,Low
1046,Boy,21-25,Yes,Mid,Moderate
1047,Girl,1-5,Yes,Mid,Moderate
1048,Boy,11-15,Yes,Mid,Moderate
1049,Girl,11-15,Yes,Poor,Moderate
1050,Girl,11-15,Yes,Mid,Moderate
1051,Boy,21-25,Yes,Mid,Moderate
1052,Girl,11-15,Yes,Rich,Moderate
1053,Boy,11-15,Yes,Poor,Low
1054,Boy,1-5,No,Mid,Low
1055,Girl,11-15,No,Mid,Low
1056,Girl,21-25,Yes,Rich,Moderate
1057,Boy,16-20,Yes,Mid,Low
1058,Girl,21-25,Yes,Rich,Moderate
1059,Boy,11-15,Yes,Poor,Low
1060,Boy,26-30,No,Poor,Low
1061,Boy,21-25,No,Mid,Moderate
1062,Boy,21-25,Yes,Mid,Moderate
1063,Girl,16-20,Yes,Mid,Moderate
1064,Boy,11-15,Yes,Mid,Moderate
1065,Boy,26-30,Yes,Rich,High
1066,Boy,11-15,No,Mid,Low
1067,Boy,21-25,No,Mid,Low
1068,Boy,21-25,Yes,Mid,Moderate
1069,Girl,21-25,Yes,Mid,Moderate
1070,Girl,16-20,Yes,Mid,Moderate
1071,Boy,11-15,Yes,Mid,High
1072,Boy,11-15,Yes,Mid,High
1073,Girl,21-25,Yes,Mid,Low
1074,Girl,11-15,Yes,Mid,Moderate
1075,Boy,21-25,Yes,Mid,Low
1076,Boy,11-15,Yes,Mid,High
1077,Boy,16-20,Yes,Mid,Moderate
1078,Girl,11-15,Yes,Mid,Moderate
1079,Boy,16-20,No,Poor,Low
1080,Girl,16-20,No,Mid,Low
1081,Boy,16-20,Yes,Mid,Moderate
1082,Boy,21-25,No,Mid,Moderate
1083,Boy,11-15,Yes,Mid,Moderate
1084,Girl,16-20,No,Poor,Moderate
1085,Boy,6-10,Yes,Rich,Moderate
1086,Boy,16-20,No,Mid,Low
1087,Boy,21-25,Yes,Mid,Moderate
1088,Boy,21-25,Yes,Mid,Low
1089,Girl,16-20,No,Mid,Low
1090,Boy,11-15,Yes,Mid,Moderate
1091,Boy,11-15,Yes,Poor,Low
1092,Girl,16-20,No,Mid,Low
1093,Boy,16-20,Yes,Mid,Moderate
1094,Girl,16-20,No,Mid,Low
1095,Girl,21-25,Yes,Rich,High
1096,Girl,21-25,Yes,Mid,Moderate
1097,Boy,21-25,Yes,Rich,Low
1098,Girl,16-20,No,Mid,Moderate
1099,Girl,11-15,Yes,Poor,Moderate
1100,Boy,11-15,Yes,Poor,Low
1101,Girl,11-15,Yes,Mid,Moderate
1102,Girl,16-20,Yes,Mid,Moderate
1103,Girl,11-15,Yes,Mid,Moderate
1104,Boy,11-15,Yes,Rich,Moderate
1105,Boy,16-20,No,Mid,Moderate
1106,Girl,6-10,Yes,Mid,High
1107,Girl,11-15,Yes,Poor,Moderate
1108,Boy,6-10,Yes,Mid,Low
1109,Boy,11-15,Yes,Poor,Moderate
1110,Boy,16-20,Yes,Mid,Moderate
1111,Boy,16-20,No,Poor,Moderate
1112,Boy,11-15,No,Mid,Low
1113,Boy,11-15,Yes,Poor,Low
1114,Girl,11-15,Yes,Rich,High
1115,Girl,11-15,Yes,Poor,Low
1116,Boy,16-20,Yes,Mid,Moderate
1117,Girl,21-25,Yes,Mid,Moderate
1118,Girl,16-20,No,Mid,Moderate
1119,Girl,11-15,Yes,Mid,Moderate
1120,Girl,11-15,Yes,Mid,Moderate
1121,Boy,11-15,Yes,Mid,Moderate
1122,Boy,16-20,Yes,Mid,Moderate
1123,Boy,16-20,Yes,Mid,Moderate
1124,Boy,21-25,No,Mid,Low
1125,Girl,11-15,Yes,Rich,Moderate
1126,Boy,21-25,No,Mid,Low
1127,Boy,6-10,Yes,Mid,Low
1128,Boy,11-15,Yes,Mid,Moderate
1129,Boy,11-15,Yes,Poor,Moderate
1130,Boy,11-15,Yes,Poor,Low
1131,Girl,16-20,Yes,Mid,Low
1132,Boy,16-20,Yes,Mid,Moderate
1133,Girl,11-15,Yes,Mid,Moderate
1134,Girl,16-20,Yes,Mid,Low
1135,Girl,16-20,Yes,Mid,Moderate
1136,Girl,21-25,Yes,Mid,Moderate
1137,Girl,21-25,No,Mid,Moderate
1138,Girl,21-25,No,Mid,Moderate
1139,Boy,21-25,Yes,Mid,Low
1140,Girl,21-25,No,Mid,Moderate
1141,Boy,11-15,Yes,Rich,High
1142,Girl,16-20,Yes,Mid,Low
1143,Girl,16-20,No,Mid,Low
1144,Boy,16-20,No,Mid,Low
1145,Boy,16-20,Yes,Mid,Moderate
1146,Boy,21-25,Yes,Mid,Moderate
1147,Girl,11-15,Yes,Mid,Moderate
1148,Boy,16-20,Yes,Mid,Moderate
1149,Girl,16-20,No,Mid,Low
1150,Girl,16-20,No,Mid,Low
1151,Girl,11-15,Yes,Mid,Low
1152,Girl,1-5,Yes,Mid,Moderate
1153,Girl,11-15,Yes,Mid,Moderate
1154,Boy,21-25,No,Mid,Low
1155,Girl,1-5,Yes,Poor,Moderate
1156,Boy,16-20,Yes,Mid,Moderate
1157,Boy,26-30,Yes,Rich,High
1158,Girl,21-25,No,Mid,Low
1159,Boy,11-15,Yes,Poor,Moderate
1160,Boy,21-25,No,Mid,Moderate
1161,Girl,11-15,No,Mid,Low
1162,Girl,16-20,No,Poor,Moderate
1163,Boy,11-15,Yes,Mid,Moderate
1164,Boy,11-15,Yes,Mid,Moderate
1165,Boy,21-25,No,Mid,Moderate
1166,Girl,11-15,Yes,Mid,Moderate
1167,Girl,21-25,Yes,Mid,Low
1168,Boy,21-25,No,Mid,Moderate
1169,Girl,16-20,No,Mid,Low
1170,Boy,21-25,No,Poor,Moderate
1171,Boy,26-30,Yes,Rich,High
1172,Boy,21-25,No,Mid,Low
1173,Girl,16-20,No,Mid,Low
1174,Boy,21-25,Yes,Mid,Moderate
1175,Girl,11-15,Yes,Poor,Low
1176,Boy,26-30,Yes,Rich,High
1177,Boy,6-10,No,Mid,Low
1178,Boy,11-15,Yes,Mid,Moderate
1179,Girl,11-15,Yes,Rich,High
1180,Boy,1-5,No,Mid,Low
1181,Boy,16-20,Yes,Mid,Low
1182,Boy,21-25,No,Mid,Moderate
1183,Girl,16-20,No,Poor,Low
1184,Boy,11-15,Yes,Mid,Moderate
1185,Girl,11-15,Yes,Poor,Low
1186,Boy,11-15,Yes,Mid,Moderate
1187,Girl,16-20,No,Mid,Low
1188,Boy,6-10,Yes,Rich,Moderate
1189,Girl,21-25,Yes,Mid,Low
1190,Boy,26-30,Yes,Mid,Moderate
1191,Boy,11-15,Yes,Mid,Moderate
1192,Boy,16-20,No,Mid,Low
1193,Boy,21-25,Yes,Poor,High
1194,Boy,11-15,No,Mid,Low
1195,Boy,21-25,Yes,Poor,High
1196,Boy,16-20,No,Mid,Low
1197,Boy,21-25,Yes,Mid,Moderate
1198,Boy,16-20,No,Mid,Low
1199,Boy,21-25,Yes,Mid,Low
1200,Girl,16-20,Yes,Mid,Low
1201,Girl,16-20,No,Mid,Moderate
1202,Boy,11-15,Yes,Mid,Moderate
1203,Girl,16-20,No,Mid,Low
1204,Girl,11-15,Yes,Poor,Moderate
